;files;Glasses?;forehead_up;forehead_ey;nose;eye_brows;hair_style;hair_type;facial_hair;jaw;ears;cheek_lines;mouth;eye_lines;face_shape
0;.\database\CHICAGO_MIX\C_FACE_MIX_0000.jpg;N;Round;Wide set;Upturned;Rounded;Long Hair;Straight;clean shaven;square;attached;no dimples;natural;round;square
1;.\database\CHICAGO_MIX\C_FACE_MIX_0001.jpg;N;Round;Close Set;Button;Curved;Long Hair;Straight;clean shaven;trianagle;pointed;no dimples;thin upper;monolid;square
2;.\database\CHICAGO_MIX\C_FACE_MIX_0002.jpg;N;Oval;Close Set;Roman;Rounded;Pinned back;Dreadlocks;clean shaven;wide;round;no dimples;full;almond;oval
3;.\database\CHICAGO_MIX\C_FACE_MIX_0003.jpg;N;Round;Wide set;Button;Soft Angled;Long Hair;Straight;clean shaven;trianagle;round;no dimples;thin upper;round;square
4;.\database\CHICAGO_MIX\C_FACE_MIX_0004.jpg;N;Long;Wide set;Button;Flat;Bun;Straight;clean shaven;wide;narrow;long dimples;natural;round;round
5;.\database\CHICAGO_MIX\C_FACE_MIX_0005.jpg;N;Round;Wide set;Snub;Angled;Medium length;Wavy;clean shaven;diamond;attached;short dimplees;thin upper;round;heart
6;.\database\CHICAGO_MIX\C_FACE_MIX_0006.jpg;N;Round;Wide set;Upturned;Flat;Long Hair;Straight;clean shaven;round;round;no dimples;small;upturned;oval
7;.\database\CHICAGO_MIX\C_FACE_MIX_0007.jpg;N;Long;Close Set;Button;Angled;Bun;Curly;clean shaven;fat;square;no dimples;natural;upturned;square
8;.\database\CHICAGO_MIX\C_FACE_MIX_0008.jpg;N;Round;Close Set;Upturned;Curved;Pinned back;Straight;clean shaven;round;pointed;no dimples;thin lower;round;heart
9;.\database\CHICAGO_MIX\C_FACE_MIX_0009.jpg;N;Round;Close Set;Button;Angled;Long Hair;Straight;clean shaven;oval;round;no dimples;full;round;diamond
10;.\database\CHICAGO_MIX\C_FACE_MIX_0010.jpg;N;Round;Close Set;Button;Rounded;Long Hair;Straight;clean shaven;round;square;no dimples;small;hooded;oval
11;.\database\CHICAGO_MIX\C_FACE_MIX_0011.jpg;N;Round;Wide set;Button;Flat;Pony Tail;Straight;clean shaven;diamond;round;no dimples;thin;monolid;heart
12;.\database\CHICAGO_MIX\C_FACE_MIX_0012.jpg;N;Square;Wide set;Upturned;Angled;Bun;Curly;clean shaven;thin;narrow;no dimples;thin lower;upturned;heart
13;.\database\CHICAGO_MIX\C_FACE_MIX_0013.jpg;N;Long;Wide set;Button;Rounded;Bun;Wavy;clean shaven;narrow;round;freckles;small;upturned;heart
14;.\database\CHICAGO_MIX\C_FACE_MIX_0014.jpg;N;Round;Wide set;Snub;Soft Angled;Pony Tail;Straight;clean shaven;diamond;sticking out;no dimples;natural;upturned;heart
15;.\database\CHICAGO_MIX\C_FACE_MIX_0015.jpg;N;Round;Wide set;Snub;Rounded;Bun;Straight;clean shaven;oval;narrow;no dimples;natural;round;round
16;.\database\CHICAGO_MIX\C_FACE_MIX_0016.jpg;N;Round;Wide set;Button;Soft Angled;Long Hair;Straight;clean shaven;diamond;narrow;no dimples;thin lower;upturned;heart
17;.\database\CHICAGO_MIX\C_FACE_MIX_0017.jpg;N;Long;Wide set;Button;Soft Angled;Bun;Wavy;clean shaven;diamond;sticking out;no dimples;natural;downturned;square
18;.\database\CHICAGO_MIX\C_FACE_MIX_0018.jpg;N;Oval;Wide set;Funnel;Rounded;Pinned back;Wavy;clean shaven;diamond;attached;no dimples;natural;upturned;heart
19;.\database\CHICAGO_MIX\C_FACE_MIX_0019.jpg;N;Square;Wide set;Snub;Rounded;Long Hair;Straight;clean shaven;thin;X;no dimples;small;round;diamond
20;.\database\CHICAGO_MIX\C_FACE_MIX_0020.jpg;N;Round;Wide set;Button;Angled;Pony Tail;Straight;clean shaven;fat;round;no dimples;small;monolid;round
21;.\database\CHICAGO_MIX\C_FACE_MIX_0021.jpg;N;Square;Wide set;Funnel;Rounded;Bun;Straight;clean shaven;fat;sticking out;no dimples;small;downturned;round
22;.\database\CHICAGO_MIX\C_FACE_MIX_0022.jpg;N;Long;Wide set;Button;Angled;Pony Tail;Wavy;clean shaven;oval;sticking out;no dimples;natural;upturned;round
23;.\database\CHICAGO_MIX\C_FACE_MIX_0023.jpg;N;Round;Wide set;Upturned;Angled;Short womens;Straight;clean shaven;diamond;round;freckles;natural;upturned;square
24;.\database\CHICAGO_MIX\C_FACE_MIX_0024.jpg;N;Long;Wide set;Snub;Soft Angled;Bun;Curly;clean shaven;diamond;sticking out;no dimples;thin upper;monolid;heart
25;.\database\CHICAGO_MIX\C_FACE_MIX_0025.jpg;N;Long;Wide set;Upturned;Curved;Pony Tail;Straight;clean shaven;oval;sticking out;no dimples;thin lower;downturned;round
26;.\database\CHICAGO_MIX\C_FACE_MIX_0026.jpg;N;Oval;Wide set;Button;Rounded;Medium length;Curly;clean shaven;diamond;narrow;no dimples;natural;monolid;square
27;.\database\CHICAGO_MIX\C_FACE_MIX_0027.jpg;N;Long;Wide set;Funnel;Soft Angled;Long Hair;Straight;clean shaven;diamond;sticking out;no dimples;thin lower;round;heart
28;.\database\CHICAGO_MIX\C_FACE_MIX_0028.jpg;N;Round;Wide set;Button;Curved;Medium length;Straight;clean shaven;trianagle;narrow;no dimples;small;downturned;heart
29;.\database\CHICAGO_MIX\C_FACE_MIX_0029.jpg;N;Round;Close Set;Funnel;Angled;Bun;Straight;clean shaven;diamond;attached;no dimples;full;upturned;diamond
30;.\database\CHICAGO_MIX\C_FACE_MIX_0030.jpg;N;Round;Wide set;Upturned;Soft Angled;Long Hair;Straight;clean shaven;diamond;sticking out;no dimples;small;round;round
31;.\database\CHICAGO_MIX\C_FACE_MIX_0031.jpg;N;Long;Wide set;Snub;Angled;Pony Tail;Straight;clean shaven;diamond;sticking out;freckles;full;round;heart
32;.\database\CHICAGO_MIX\C_FACE_MIX_0032.jpg;N;Square;Wide set;Upturned;Rounded;Long Hair;Straight;clean shaven;fat;X;no dimples;thin upper;hooded;round
33;.\database\CHICAGO_MIX\C_FACE_MIX_0033.jpg;N;Round;Close Set;Snub;Angled;Medium length;Straight;clean shaven;diamond;sticking out;no dimples;natural;downturned;heart
34;.\database\CHICAGO_MIX\C_FACE_MIX_0034.jpg;N;Round;Wide set;Button;Rounded;Pinned back;Straight;clean shaven;oval;round;no dimples;thin upper;round;round
35;.\database\CHICAGO_MIX\C_FACE_MIX_0035.jpg;N;Square;Wide set;Upturned;Angled;Pony Tail;Wavy;clean shaven;diamond;sticking out;no dimples;thin lower;downturned;square
36;.\database\CHICAGO_MIX\C_FACE_MIX_0036.jpg;N;Oval;Wide set;Upturned;Curved;Pony Tail;Straight;clean shaven;oval;narrow;freckles;small;upturned;oval
37;.\database\CHICAGO_MIX\C_FACE_MIX_0037.jpg;N;Round;Wide set;Button;Soft Angled;Short womens;Wavy;clean shaven;diamond;narrow;no dimples;small;downturned;heart
38;.\database\CHICAGO_MIX\C_FACE_MIX_0038.jpg;N;Oval;Wide set;Upturned;Rounded;Pony Tail;Straight;clean shaven;oval;round;no dimples;small;downturned;oval
39;.\database\CHICAGO_MIX\C_FACE_MIX_0039.jpg;N;Oval;Wide set;Snub;Angled;Short womens;Straight;clean shaven;diamond;sticking out;no dimples;thin;upturned;heart
40;.\database\CHICAGO_MIX\C_FACE_MIX_0040.jpg;N;Round;Wide set;Snub;Angled;Bun;Straight;clean shaven;fat;narrow;no dimples;small;round;round
41;.\database\CHICAGO_MIX\C_FACE_MIX_0041.jpg;N;Square;Wide set;Button;Angled;Medium length;Straight;clean shaven;diamond;X;no dimples;small;downturned;square
42;.\database\CHICAGO_MIX\C_FACE_MIX_0042.jpg;N;Round;Wide set;Snub;Angled;Long Hair;Straight;clean shaven;diamond;attached;no dimples;small;round;square
43;.\database\CHICAGO_MIX\C_FACE_MIX_0043.jpg;N;Long;Wide set;Upturned;Soft Angled;Long Hair;Straight;clean shaven;diamond;X;no dimples;small;downturned;heart
44;.\database\CHICAGO_MIX\C_FACE_MIX_0044.jpg;N;Square;Wide set;Upturned;Angled;Medium length;Wavy;clean shaven;diamond;narrow;no dimples;small;monolid;square
45;.\database\CHICAGO_MIX\C_FACE_MIX_0045.jpg;N;Square;Wide set;Button;Rounded;Long Hair;Straight;clean shaven;diamond;narrow;no dimples;small;upturned;square
46;.\database\CHICAGO_MIX\C_FACE_MIX_0046.jpg;N;Long;Wide set;Snub;Flat;Long Hair;Straight;clean shaven;diamond;X;no dimples;thin;monolid;square
47;.\database\CHICAGO_MIX\C_FACE_MIX_0047.jpg;N;Round;Wide set;Funnel;Curved;Short womens;Wavy;clean shaven;diamond;X;no dimples;small;round;round
48;.\database\CHICAGO_MIX\C_FACE_MIX_0048.jpg;N;Long;Wide set;Button;Angled;Long Hair;Straight;clean shaven;diamond;sticking out;no dimples;natural;monolid;square
49;.\database\CHICAGO_MIX\C_FACE_MIX_0049.jpg;N;Square;Wide set;Upturned;Angled;Long Hair;Wavy;clean shaven;diamond;X;no dimples;small;downturned;square
50;.\database\CHICAGO_MIX\C_FACE_MIX_0050.jpg;N;Round;Wide set;Button;Curved;Medium length;Straight;clean shaven;fat;attached;no dimples;thin;round;round
51;.\database\CHICAGO_MIX\C_FACE_MIX_0051.jpg;N;Square;Wide set;Button;Angled;Short womens;Straight;clean shaven;diamond;X;no dimples;full;round;square
52;.\database\CHICAGO_MIX\C_FACE_MIX_0052.jpg;N;Long;Wide set;Upturned;Soft Angled;Bun;Straight;clean shaven;oval;sticking out;no dimples;thin;round;round
53;.\database\CHICAGO_MIX\C_FACE_MIX_0053.jpg;N;Square;Wide set;Snub;Angled;Short womens;Wavy;clean shaven;diamond;sticking out;no dimples;small;hooded;heart
54;.\database\CHICAGO_MIX\C_FACE_MIX_0054.jpg;N;Round;Wide set;Snub;Soft Angled;Long Hair;Wavy;clean shaven;diamond;attached;no dimples;small;downturned;heart
55;.\database\CHICAGO_MIX\C_FACE_MIX_0055.jpg;N;Round;Wide set;Snub;Flat;Long Hair;Straight;clean shaven;diamond;sticking out;no dimples;small;monolid;diamond
56;.\database\CHICAGO_MIX\C_FACE_MIX_0056.jpg;N;Round;Wide set;Button;Flat;Long Hair;Straight;clean shaven;diamond;sticking out;no dimples;small;downturned;square
57;.\database\CHICAGO_MIX\C_FACE_MIX_0057.jpg;N;Square;Wide set;Upturned;Rounded;Pixie cut;Straight;clean shaven;oval;pointed;no dimples;small;hooded;diamond
58;.\database\CHICAGO_MIX\C_FACE_MIX_0058.jpg;N;Round;Wide set;Button;Curved;Pixie cut;Straight;clean shaven;fat;attached;no dimples;small;monolid;round
59;.\database\CHICAGO_MIX\C_FACE_MIX_0059.jpg;N;Square;Wide set;Button;Rounded;Pixie cut;Straight;clean shaven;oval;round;no dimples;small;downturned;round
60;.\database\CHICAGO_MIX\C_FACE_MIX_0060.jpg;N;Long;Wide set;Button;Angled;Pixie cut;Straight;clean shaven;diamond;attached;no dimples;natural;round;square
61;.\database\CHICAGO_MIX\C_FACE_MIX_0061.jpg;N;Long;Wide set;Upturned;Angled;Bald;X;clean shaven;diamond;sticking out;no dimples;thin;hooded;heart
62;.\database\CHICAGO_MIX\C_FACE_MIX_0062.jpg;N;Square;Wide set;Button;Angled;Pixie cut;Shaved;clean shaven;fat;round;no dimples;natural;hooded;round
63;.\database\CHICAGO_MIX\C_FACE_MIX_0063.jpg;N;Square;Wide set;Button;Soft Angled;Pixie cut;Shaved;clean shaven;diamond;sticking out;no dimples;thin;hooded;heart
64;.\database\CHICAGO_MIX\C_FACE_MIX_0064.jpg;N;Round;Close Set;Upturned;Soft Angled;Pixie cut;Straight;clean shaven;oval;sticking out;no dimples;small;round;oval
65;.\database\CHICAGO_MIX\C_FACE_MIX_0065.jpg;N;Long;Wide set;Button;Flat;Pixie cut;Wavy;clean shaven;oval;round;no dimples;natural;hooded;round
66;.\database\CHICAGO_MIX\C_FACE_MIX_0066.jpg;N;Square;Wide set;Button;Soft Angled;Pixie cut;Straight;clean shaven;oval;sticking out;no dimples;thin upper;hooded;heart
67;.\database\CHICAGO_MIX\C_FACE_MIX_0067.jpg;N;Square;Close Set;Upturned;Angled;Shaved;Shaved;clean shaven;diamond;pointed;no dimples;natural;upturned;heart
68;.\database\CHICAGO_MIX\C_FACE_MIX_0068.jpg;N;Long;Close Set;Funnel;Soft Angled;Shaved;Shaved;clean shaven;fat;sticking out;no dimples;small;downturned;round
69;.\database\CHICAGO_MIX\C_FACE_MIX_0069.jpg;N;Long;Wide set;Button;Flat;Shaved;Shaved;clean shaven;fat;round;no dimples;small;hooded;round
70;.\database\CHICAGO_MIX\C_FACE_MIX_0070.jpg;N;Round;Wide set;Upturned;Soft Angled;Pixie cut;Wavy;clean shaven;diamond;sticking out;no dimples;thin;round;square
71;.\database\CHICAGO_MIX\C_FACE_MIX_0071.jpg;N;Long;Wide set;Button;Soft Angled;Pixie cut;Straight;clean shaven;fat;sticking out;freckles;small;hooded;square
72;.\database\CHICAGO_MIX\C_FACE_MIX_0072.jpg;N;Long;Wide set;Upturned;Angled;Pixie cut;Straight;clean shaven;diamond;round;no dimples;thin;downturned;square
73;.\database\CHICAGO_MIX\C_FACE_MIX_0073.jpg;N;Long;Wide set;Snub;Angled;Pixie cut;Wavy;clean shaven;thin;broad;no dimples;thin;hooded;diamond
74;.\database\CHICAGO_MIX\C_FACE_MIX_0074.jpg;N;Square;Wide set;Upturned;Soft Angled;Pixie cut;Straight;clean shaven;oval;round;no dimples;thin upper;upturned;diamond
75;.\database\CHICAGO_MIX\C_FACE_MIX_0075.jpg;N;Long;Wide set;Upturned;Curved;Pixie cut;Wavy;clean shaven;diamond;round;no dimples;small;upturned;heart
76;.\database\CHICAGO_MIX\C_FACE_MIX_0076.jpg;N;Round;Wide set;Funnel;Soft Angled;Shaved;Shaved;clean shaven;oval;round;no dimples;full;downturned;oval
77;.\database\CHICAGO_MIX\C_FACE_MIX_0077.jpg;N;Round;Wide set;Button;Curved;Spiky;Straight;clean shaven;diamond;sticking out;no dimples;natural;downturned;square
78;.\database\CHICAGO_MIX\C_FACE_MIX_0078.jpg;N;Square;Wide set;Snub;Rounded;Pixie cut;Straight;clean shaven;oval;attached;no dimples;small;monolid;diamond
79;.\database\CHICAGO_MIX\C_FACE_MIX_0079.jpg;N;Round;Wide set;Funnel;Soft Angled;Pixie cut;Wavy;clean shaven;fat;narrow;no dimples;small;hooded;round
80;.\database\CHICAGO_MIX\C_FACE_MIX_0080.jpg;N;Long;Wide set;Button;Soft Angled;Pixie cut;Wavy;clean shaven;oval;round;no dimples;small;downturned;diamond
81;.\database\CHICAGO_MIX\C_FACE_MIX_0081.jpg;N;Round;Wide set;Upturned;Curved;Pixie cut;Straight;clean shaven;fat;narrow;no dimples;small;downturned;square
82;.\database\CHICAGO_MIX\C_FACE_MIX_0082.jpg;N;Round;Wide set;Snub;Rounded;Shaved;Shaved;clean shaven;fat;sticking out;no dimples;thin;downturned;round
83;.\database\CHICAGO_MIX\C_FACE_MIX_0083.jpg;N;Square;Wide set;Upturned;Flat;Pixie cut;Straight;clean shaven;diamond;narrow;no dimples;thin lower;round;heart
84;.\database\CHICAGO_MIX\C_FACE_MIX_0084.jpg;N;Long;Wide set;Button;Angled;Pixie cut;Wavy;clean shaven;oval;pointed;no dimples;full;hooded;heart
85;.\database\CHICAGO_MIX\C_FACE_MIX_0085.jpg;N;Round;Wide set;Button;Angled;Shaved;Shaved;clean shaven;fat;round;no dimples;small;upturned;round
86;.\database\CHICAGO_MIX\C_FACE_MIX_0086.jpg;N;Square;Wide set;Snub;Soft Angled;Spiky;Straight;clean shaven;oval;round;no dimples;thin;downturned;diamond
87;.\database\CHICAGO_MIX\C_FACE_MIX_0087.jpg;N;Square;Close Set;Button;Flat;Pixie cut;Straight;clean shaven;fat;round;no dimples;small;hooded;round
88;.\database\CHICAGO_MIX\C_FACE_MIX_0088.jpg;N;Long;Wide set;Snub;Rounded;Pixie cut;Straight;clean shaven;fat;narrow;no dimples;thin;monolid;round
89;.\database\CHICAGO_MIX\C_FACE_MIX_0089.jpg;N;Long;Wide set;Button;Soft Angled;Shaved;Shaved;clean shaven;diamond;sticking out;no dimples;thin lower;round;square
90;.\database\CHICAGO_MIX\C_FACE_MIX_0090.jpg;N;Long;Wide set;Funnel;Rounded;Shaved;Shaved;clean shaven;fat;sticking out;no dimples;thin;round;round
91;.\database\CHICAGO_MIX\C_FACE_MIX_0091.jpg;N;Square;Wide set;Button;Curved;Shaved;Shaved;clean shaven;fat;sticking out;no dimples;thin upper;upturned;round
92;.\database\CHICAGO_MIX\C_FACE_MIX_0092.jpg;N;Round;Close Set;Upturned;Soft Angled;Dreadlocks;Dreadlocks;clean shaven;diamond;narrow;no dimples;natural;hooded;heart
93;.\database\CHICAGO_MIX\C_FACE_MIX_0093.jpg;N;Round;Wide set;Snub;Soft Angled;Pixie cut;Wavy;clean shaven;trianagle;attached;no dimples;small;hooded;square
94;.\database\CHICAGO_MIX\C_FACE_MIX_0094.jpg;N;Long;Wide set;Snub;Angled;Pixie cut;Straight;clean shaven;diamond;sticking out;no dimples;small;monolid;square
95;.\database\CHICAGO_MIX\C_FACE_MIX_0095.jpg;N;Square;Wide set;Upturned;Rounded;Pixie cut;Straight;clean shaven;fat;attached;no dimples;thin;hooded;round
96;.\database\CHICAGO_MIX\C_FACE_MIX_0096.jpg;N;Oval;Wide set;Snub;Rounded;Pixie cut;Straight;clean shaven;oval;narrow;no dimples;thin;hooded;oval
97;.\database\CHICAGO_MIX\C_FACE_MIX_0097.jpg;N;Square;Wide set;Droopy;Soft Angled;Pixie cut;Straight;clean shaven;diamond;pointed;no dimples;small;hooded;square
98;.\database\CHICAGO_MIX\C_FACE_MIX_0098.jpg;N;Square;Close Set;Snub;Angled;Spiky;Straight;clean shaven;diamond;sticking out;no dimples;natural;round;heart
99;.\database\CHICAGO_MIX\C_FACE_MIX_0099.jpg;N;Long;Wide set;Button;Angled;Spiky;Straight;clean shaven;diamond;sticking out;no dimples;natural;almond;heart
100;.\database\CHICAGO_MIX\C_FACE_MIX_0100.jpg;N;Long;Close Set;Upturned;Angled;Pixie cut;Wavy;clean shaven;diamond;round;no dimples;natural;round;heart
101;.\database\CHICAGO_MIX\C_FACE_MIX_0101.jpg;N;Long;Wide set;Snub;Soft Angled;Dreadlocks;Dreadlocks;clean shaven;oval;sticking out;no dimples;natural;round;round
102;.\database\CHICAGO_MIX\C_FACE_MIX_0102.jpg;N;Long;Wide set;Upturned;Soft Angled;Pixie cut;Wavy;clean shaven;fat;narrow;no dimples;natural;round;round
103;.\database\CHICAGO_MIX\C_FACE_MIX_0103.jpg;N;Long;Wide set;Funnel;Curved;Pixie cut;Wavy;clean shaven;oval;sticking out;no dimples;thin;downturned;heart
104;.\database\CHICAGO_MIX\C_FACE_MIX_0104.jpg;N;Square;Wide set;Button;Soft Angled;Pixie cut;Wavy;clean shaven;diamond;narrow;no dimples;small;round;square
105;.\database\CHICAGO_MIX\C_FACE_MIX_0105.jpg;N;Long;Wide set;Button;Angled;Pixie cut;Wavy;clean shaven;diamond;sticking out;no dimples;small;upturned;heart
106;.\database\CHICAGO_MIX\C_FACE_MIX_0106.jpg;N;Round;Wide set;Snub;Soft Angled;Pixie cut;Straight;clean shaven;diamond;sticking out;no dimples;natural;round;square
107;.\database\CHICAGO_MIX\C_FACE_MIX_0107.jpg;N;Oval;Wide set;Snub;Angled;Pixie cut;Curly;clean shaven;oval;round;no dimples;full;upturned;oval
108;.\database\CHICAGO_MIX\C_FACE_MIX_0108.jpg;N;Round;Wide set;Upturned;Angled;Pixie cut;Wavy;clean shaven;oval;sticking out;no dimples;small;round;diamond
